ORG_CODE,ORG_NAME,Month,LEFT_DEPARTMENT_ECDS_RATE,LEFT_DEPARTMENT_TOTAL,MSITAE_COMPARISON_ECDS,MSITAE_COMPARISON_ECDS_RATE,MSITAE_COMPARISON_MSITAE,TIME_TO_INITIAL_ASSESSMENT_95,TIME_TO_INITIAL_ASSESSMENT_DENOM,TIME_TO_INITIAL_ASSESSMENT_MEDIAN,TIME_TO_TREATMENT_95,TIME_TO_TREATMENT_DENOM,TIME_TO_TREATMENT_MEDIAN,TOTAL_TIME_95,TOTAL_TIME_95_ADMITTED,TOTAL_TIME_95_NON_ADM,TOTAL_TIME_DENOM,TOTAL_TIME_DENOM_ADMITTED,TOTAL_TIME_DENOM_NON_ADM,TOTAL_TIME_MEDIAN,TOTAL_TIME_MEDIAN_ADMITTED,TOTAL_TIME_MEDIAN_NON_ADM,UNPLANNED_REATTENDANCES,UNPLANNED_REATTENDANCES_DENOM,UNPLANNED_REATTENDANCES_RATE,Year,Total Attendances,Year_Start
RJN,EAST CHESHIRE NHS TRUST,2023-03-01,3.68098159509202,150.0,4075.0,98.1927710843373,4150.0,29.0499999999999,880.0,0.0,297.649999999999,3890.0,86.0,1577.49999999999,2282.0,744.75,4065.0,1050.0,3015.0,226.0,710.0,200.0,210.0,3735.0,5.62248995983935,2022-23,25348842,2022-04-01
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,2023-03-01,6.663602941,725.0,10880.0,93.5511607910576,11630.0,20.0,2300.0,6.0,256.0,9275.0,58.0,960.249999999994,1519.35,432.0,10870.0,2935.0,7940.0,167.0,259.5,149.0,920.0,10825.0,8.49884526558891,2022-23,25348842,2022-04-01
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",2023-03-01,1.09332292073408,140.0,12805.0,100.0,12807.0,57.0,1950.0,13.0,326.0,11350.0,95.0,1508.0,2339.5,651.149999999999,12805.0,2785.0,10020.0,180.0,385.5,164.0,1115.0,11960.0,9.32274247491638,2022-23,25348842,2022-04-01
AQN04,PHL LYMINGTON UTC,2023-03-01,0.36697247706422,10.0,2725.0,105.009633911368,2595.0,,,,165.0,850.0,46.0,258.0,101.0,258.0,2595.0,0.0,2590.0,80.0,54.5,80.0,20.0,850.0,2.35294117647058,2022-23,25348842,2022-04-01
NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,2023-03-01,0.0,0.0,5630.0,97.2366148531951,5789.0,20.8,0.0,9.0,23.0,0.0,23.0,299.5,,299.5,5570.0,,5570.0,115.0,,115.0,,,,2022-23,25348842,2022-04-01
ENG,ENGLAND,2023-03-01,4.79727127969791,93937.0,2010449.0,92.9167494719717,2163709.0,79.0,341935.0,9.0,324.0,1584179.0,68.0,909.0,1577.0,585.0,1993589.0,413560.0,1580029.0,181.0,358.0,162.0,142777.0,1691668.0,8.44001305220646,2022-23,25348842,2022-04-01
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2023-03-01,2.3578947368421,280.0,11875.0,60.9756097560975,19474.0,0.0,3140.0,0.0,255.0,11595.0,62.0,974.0,1425.19999999999,528.25,11865.0,2930.0,8935.0,199.0,526.0,159.0,655.0,11835.0,5.53443177017321,2022-23,25348842,2022-04-01
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,2023-03-01,3.18725099601593,40.0,1255.0,88.6925795053003,1413.0,,,,303.349999999999,1135.0,117.0,341.0,383.25,341.0,1255.0,75.0,1180.0,162.0,143.5,162.0,125.0,1155.0,10.8225108225108,2022-23,25348842,2022-04-01
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2023-03-01,5.13722730471498,730.0,14210.0,60.4295130767595,23514.0,82.0,3930.0,17.0,362.0,11975.0,111.0,877.0,1112.0,712.0,14205.0,2635.0,11570.0,237.0,543.0,220.0,880.0,12540.0,7.01754385964912,2022-23,25348842,2022-04-01
S6U2C,DERBY URGENT TREATMENT CENTRE,2023-03-01,,,,,,,,,142.0,4080.0,15.0,,,,,,,,,,,,,2022-23,25348842,2022-04-01
